1;Ethifarm S.A.;9786112707;670588862;anna.jakubowski@yahoo.com;anna.jakubowski@yahoo.com
2;Finepharm S.A.;2378423124;416932026;anna.jakubowski@yahoo.com;konrad.janiak@hotmail.com
3;Zosmet Sp. J.;8668872253;211501084;martyna.rzepka@hotmail.com
4;Turystyka i gastronomia Sp. z o.o.;4113656313;953787568;franciszka.tarnowski@yahoo.com
5;META-ZEL S.A.;7615636319;892007646;eleonora.jozwik@yahoo.com
6;ML System S.A.;9776511430;095406372;anatol.grzywacz@gmail.com
7;Moderator S.A.;4829780259;237536843;martyna.marciniak@gmail.com
8;Ngplast S.A.;9387788426;513955390;angela.maciejewski@gmail.com
9;EUROTECH Sp z o.o.;5427093149;570489330;tacjana.jurkowski@gmail.com
10;Fako S.A.;3220530084;892677750;tekla.rosiak@yahoo.com
11;Famad S.A.;7456863160;013678261;borys.adamczak@hotmail.com
12;Plandex Sp. J.;5731876324;898860365;marianna.wasik@gmail.com
13;Polcar Sp. J.;9947373124;897807073;henryka.walczak@yahoo.com
14;Pomot Sp. J.;5947655369;556645261;dawid.wilk@yahoo.com
15;Inter Cars Sp z o.o.;8848984019;653114710;walentyn.wozniak@hotmail.com
16;Inter Groclin;1659259762;796292776;reginald.adamczyk@yahoo.com
17;ISKRA Sp z o.o.;4788773971;837083370;anatol.kogut@hotmail.com
18;Jegger Sp. J.;7379633530;271310584;dominik.florek@hotmail.com
19;Jelcz Sp z o.o.;2169978154;933719980;eleonora.stefanski@gmail.com
20;SZCZĘŚNIAK I WSPÓLNICY Sp z o.o.;1226007164;912399832;gwido.bieniek@yahoo.com
21;Ursus Sp. J.;7872160014;319961310;justyna.stachowiak@yahoo.com
22;Wielton Sp. J.;2096492077;372754860;edward.jedrzejewski@gmail.com
23;Bohamet Sp. J.;2754689529;553701007;grzegorz.olczak@hotmail.com
24;Boryszew Sp. J.;8990487234;070700125;hugo.falkowski@gmail.com
25;Cognor Sp. J.;3335972126;034709597;patrycy.stepniak@yahoo.com
26;Plastics Group Sp. J.;3549037458;401624084;julia.mroz@hotmail.com
27;Polon-Alfa Sp z o.o.;3469981965;210879254;walerian.flak@yahoo.com
